Timestamp,Thread Name,Thread State,Last Call,Custom Call
2021-03-29 06:59:54,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 06:59:54,http-nio-7012-exec-33,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,http-nio-7012-exec-36,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,http-nio-7012-exec-46,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 06:59:54,http-nio-7012-exec-49,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 06:59:54,http-nio-7012-exec-53,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,http-nio-7012-exec-59,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 06:59:54,http-nio-7012-exec-63,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 06:59:54,http-nio-7012-exec-76,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,http-nio-7012-exec-77,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 06:59:54,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 06:59:54,http-nio-7012-exec-78,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 06:59:54,http-nio-7012-exec-79,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 06:59:54,http-nio-7012-exec-80,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,http-nio-7012-exec-81,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,http-nio-7012-exec-82,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 06:59:54,VM Thread,,,
2021-03-29 06:59:54,GC Thread#0,,,
2021-03-29 06:59:54,G1 Main Marker,,,
2021-03-29 06:59:54,G1 Conc#0,,,
2021-03-29 06:59:54,G1 Refine#0,,,
2021-03-29 06:59:54,G1 Young RemSet Sampling,,,
2021-03-29 06:59:54,VM Periodic Task Thread,,,
2021-03-29 07:00:56,Reference Handler,RUNNABLE,at java.lang.ref.Reference.waitForReferencePendingList(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,Finalizer,WAITING (on object monitor),at java.lang.ref.ReferenceQueue.remove(java.base@11.0.10/ReferenceQueue.java:155),No
2021-03-29 07:00:56,Signal Dispatcher,RUNNABLE,,
2021-03-29 07:00:56,Service Thread,RUNNABLE,,
2021-03-29 07:00:56,C2 CompilerThread0,RUNNABLE,,
2021-03-29 07:00:56,C1 CompilerThread0,RUNNABLE,,
2021-03-29 07:00:56,Sweeper thread,RUNNABLE,,
2021-03-29 07:00:56,Common-Cleaner,TIMED_WAITING (on object monitor),at java.lang.ref.ReferenceQueue.remove(java.base@11.0.10/ReferenceQueue.java:155),No
2021-03-29 07:00:56,jaeger.RemoteReporter-QueueProcessor,WAITING (parking),at java.util.concurrent.ArrayBlockingQueue.take(java.base@11.0.10/ArrayBlockingQueue.java:417),No
2021-03-29 07:00:56,jaeger.RemoteReporter-FlushTimer,TIMED_WAITING (on object monitor),at java.util.TimerThread.mainLoop(java.base@11.0.10/Timer.java:553),No
2021-03-29 07:00:56,lettuce-eventExecutorLoop-1-1,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,Catalina-utility-1,TIMED_WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1182),No
2021-03-29 07:00:56,Catalina-utility-2,WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1177),No
2021-03-29 07:00:56,container-0,TIMED_WAITING (sleeping),at java.lang.Thread.sleep(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,commons-pool-evictor-thread,TIMED_WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1182),No
2021-03-29 07:00:56,spring.cloud.inetutils,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:00:56,http-nio-7012-BlockPoller,RUNNABLE,at sun.nio.ch.EPoll.wait(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,http-nio-7012-ClientPoller,RUNNABLE,at sun.nio.ch.EPoll.wait(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,http-nio-7012-Acceptor,RUNNABLE,at sun.nio.ch.ServerSocketChannelImpl.accept0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,DestroyJavaVM,RUNNABLE,,
2021-03-29 07:00:56,AsynchThread-1,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:00:56,AsynchThread-2,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:00:56,AsynchThread-3,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:00:56,AsynchThread-4,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:00:56,AsynchThread-5,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:00:56,AMQP Connection 10.43.172.112:5672,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,pool-2-thread-2,TIMED_WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1182),No
2021-03-29 07:00:56,Attach Listener,RUNNABLE,,
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,http-nio-7012-exec-16,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-18,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-25,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,container-8,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,http-nio-7012-exec-33,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-36,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-46,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-49,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-53,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-59,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-63,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-76,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-77,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:00:56,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:00:56,http-nio-7012-exec-78,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-79,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-80,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-81,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-82,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
2021-03-29 07:00:56,http-nio-7012-exec-83,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-84,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-85,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,http-nio-7012-exec-86,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:00:56,VM Thread,,,
2021-03-29 07:00:56,GC Thread#0,,,
2021-03-29 07:00:56,G1 Main Marker,,,
2021-03-29 07:00:56,G1 Conc#0,,,
2021-03-29 07:00:56,G1 Refine#0,,,
2021-03-29 07:00:56,G1 Young RemSet Sampling,,,
2021-03-29 07:00:56,VM Periodic Task Thread,,,
2021-03-29 07:01:57,Reference Handler,RUNNABLE,at java.lang.ref.Reference.waitForReferencePendingList(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,Finalizer,WAITING (on object monitor),at java.lang.ref.ReferenceQueue.remove(java.base@11.0.10/ReferenceQueue.java:155),No
2021-03-29 07:01:57,Signal Dispatcher,RUNNABLE,,
2021-03-29 07:01:57,Service Thread,RUNNABLE,,
2021-03-29 07:01:57,C2 CompilerThread0,RUNNABLE,,
2021-03-29 07:01:57,C1 CompilerThread0,RUNNABLE,,
2021-03-29 07:01:57,Sweeper thread,RUNNABLE,,
2021-03-29 07:01:57,Common-Cleaner,TIMED_WAITING (on object monitor),at java.lang.ref.ReferenceQueue.remove(java.base@11.0.10/ReferenceQueue.java:155),No
2021-03-29 07:01:57,jaeger.RemoteReporter-QueueProcessor,WAITING (parking),at java.util.concurrent.ArrayBlockingQueue.take(java.base@11.0.10/ArrayBlockingQueue.java:417),No
2021-03-29 07:01:57,jaeger.RemoteReporter-FlushTimer,TIMED_WAITING (on object monitor),at java.util.TimerThread.mainLoop(java.base@11.0.10/Timer.java:553),No
2021-03-29 07:01:57,lettuce-eventExecutorLoop-1-1,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:01:57,Catalina-utility-1,WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1177),No
2021-03-29 07:01:57,Catalina-utility-2,TIMED_WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1182),No
2021-03-29 07:01:57,container-0,TIMED_WAITING (sleeping),at java.lang.Thread.sleep(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,commons-pool-evictor-thread,TIMED_WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1182),No
2021-03-29 07:01:57,spring.cloud.inetutils,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:01:57,http-nio-7012-BlockPoller,RUNNABLE,at sun.nio.ch.EPoll.wait(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,http-nio-7012-ClientPoller,RUNNABLE,at sun.nio.ch.EPoll.wait(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,http-nio-7012-Acceptor,RUNNABLE,at sun.nio.ch.ServerSocketChannelImpl.accept0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,DestroyJavaVM,RUNNABLE,,
2021-03-29 07:01:57,AsynchThread-1,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:01:57,AsynchThread-2,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:01:57,AsynchThread-3,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:01:57,AsynchThread-4,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:01:57,AsynchThread-5,WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.take(java.base@11.0.10/LinkedBlockingQueue.java:433),No
2021-03-29 07:01:57,AMQP Connection 10.43.172.112:5672,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,pool-2-thread-2,TIMED_WAITING (parking),at java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(java.base@11.0.10/ScheduledThreadPoolExecutor.java:1182),No
2021-03-29 07:01:57,Attach Listener,RUNNABLE,,
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,http-nio-7012-exec-16,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:01:57,http-nio-7012-exec-18,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:01:57,http-nio-7012-exec-25,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:01:57,container-8,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwReader,RUNNABLE,at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method),No
2021-03-29 07:01:57,LLENwWriter,WAITING (on object monitor),at bea.jolt.OutQ.getFromQ(OutQ.java:89),No
2021-03-29 07:01:57,http-nio-7012-exec-33,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:01:57,http-nio-7012-exec-36,TIMED_WAITING (parking),at java.util.concurrent.LinkedBlockingQueue.poll(java.base@11.0.10/LinkedBlockingQueue.java:458),No
2021-03-29 07:01:57,http-nio-7012-exec-46,TIMED_WAITING (on object monitor),at bea.jolt.IOBuf.waitOnBuf(IOBuf.java:119),No
